# OpenMATB scenario generator

# Name: block3
# Date: 16/04/2026 08:02:58


# Block n° 1. Technical load = 48.3 %
0:00:00;track;start
0:00:00;track;targetproportion;0.30000000000000004
0:00:00;sysmon;start
0:01:52;sysmon;lights-2-failure;True
0:02:30;sysmon;lights-1-failure;True
0:02:42;sysmon;lights-2-failure;True
0:02:57;sysmon;lights-1-failure;True
0:03:49;sysmon;lights-2-failure;True
0:04:09;sysmon;lights-1-failure;True
0:00:23;sysmon;scales-1-failure;True
0:02:45;sysmon;scales-3-failure;True
0:03:21;sysmon;scales-4-failure;True
0:03:35;sysmon;scales-3-failure;True
0:03:59;sysmon;scales-1-failure;True
0:04:40;sysmon;scales-2-failure;True
0:00:00;resman;start
0:00:00;resman;tank-a-lossperminute;900
0:00:00;resman;tank-b-lossperminute;900

# Block n° 2. Technical load = 65.0 %
0:05:00;track;targetproportion;0.30000000000000004
0:05:04;sysmon;lights-1-failure;True
0:05:16;sysmon;lights-2-failure;True
0:05:27;sysmon;lights-1-failure;True
0:05:40;sysmon;lights-2-failure;True
0:05:57;sysmon;lights-2-failure;True
0:06:11;sysmon;lights-2-failure;True
0:06:25;sysmon;lights-2-failure;True
0:06:52;sysmon;lights-2-failure;True
0:07:03;sysmon;lights-1-failure;True
0:07:20;sysmon;lights-1-failure;True
0:07:36;sysmon;lights-1-failure;True
0:07:51;sysmon;lights-1-failure;True
0:08:03;sysmon;lights-1-failure;True
0:08:16;sysmon;lights-2-failure;True
0:08:30;sysmon;lights-2-failure;True
0:08:41;sysmon;lights-1-failure;True
0:08:55;sysmon;lights-2-failure;True
0:09:14;sysmon;lights-1-failure;True
0:09:30;sysmon;lights-1-failure;True
0:09:47;sysmon;lights-2-failure;True
0:05:07;sysmon;scales-2-failure;True
0:05:21;sysmon;scales-1-failure;True
0:05:36;sysmon;scales-1-failure;True
0:05:52;sysmon;scales-1-failure;True
0:06:04;sysmon;scales-4-failure;True
0:06:16;sysmon;scales-3-failure;True
0:06:31;sysmon;scales-4-failure;True
0:06:47;sysmon;scales-2-failure;True
0:06:59;sysmon;scales-1-failure;True
0:07:16;sysmon;scales-4-failure;True
0:07:31;sysmon;scales-1-failure;True
0:07:45;sysmon;scales-2-failure;True
0:07:59;sysmon;scales-3-failure;True
0:08:11;sysmon;scales-4-failure;True
0:08:25;sysmon;scales-4-failure;True
0:08:40;sysmon;scales-3-failure;True
0:08:53;sysmon;scales-2-failure;True
0:09:09;sysmon;scales-3-failure;True
0:09:23;sysmon;scales-2-failure;True
0:09:37;sysmon;scales-3-failure;True
0:05:00;resman;tank-a-lossperminute;900
0:05:00;resman;tank-b-lossperminute;900

# Block n° 3. Technical load = 65.0 %
0:10:00;track;targetproportion;0.30000000000000004
0:10:03;sysmon;lights-1-failure;True
0:10:19;sysmon;lights-2-failure;True
0:10:36;sysmon;lights-1-failure;True
0:10:47;sysmon;lights-2-failure;True
0:10:58;sysmon;lights-2-failure;True
0:11:12;sysmon;lights-1-failure;True
0:11:27;sysmon;lights-2-failure;True
0:11:44;sysmon;lights-2-failure;True
0:12:02;sysmon;lights-2-failure;True
0:12:19;sysmon;lights-1-failure;True
0:12:34;sysmon;lights-1-failure;True
0:12:51;sysmon;lights-1-failure;True
0:13:02;sysmon;lights-2-failure;True
0:13:15;sysmon;lights-2-failure;True
0:13:34;sysmon;lights-1-failure;True
0:13:46;sysmon;lights-2-failure;True
0:14:10;sysmon;lights-2-failure;True
0:14:22;sysmon;lights-1-failure;True
0:14:36;sysmon;lights-1-failure;True
0:14:48;sysmon;lights-1-failure;True
0:10:03;sysmon;scales-1-failure;True
0:10:24;sysmon;scales-1-failure;True
0:10:38;sysmon;scales-2-failure;True
0:10:54;sysmon;scales-3-failure;True
0:11:06;sysmon;scales-2-failure;True
0:11:25;sysmon;scales-4-failure;True
0:11:40;sysmon;scales-3-failure;True
0:11:53;sysmon;scales-1-failure;True
0:12:05;sysmon;scales-3-failure;True
0:12:17;sysmon;scales-2-failure;True
0:12:32;sysmon;scales-4-failure;True
0:12:49;sysmon;scales-4-failure;True
0:13:02;sysmon;scales-1-failure;True
0:13:17;sysmon;scales-4-failure;True
0:13:30;sysmon;scales-3-failure;True
0:13:44;sysmon;scales-3-failure;True
0:13:58;sysmon;scales-4-failure;True
0:14:15;sysmon;scales-1-failure;True
0:14:33;sysmon;scales-2-failure;True
0:14:47;sysmon;scales-2-failure;True
0:10:00;resman;tank-a-lossperminute;900
0:10:00;resman;tank-b-lossperminute;900

# Block n° 4. Technical load = 65.0 %
0:15:00;track;targetproportion;0.30000000000000004
0:15:18;sysmon;lights-2-failure;True
0:15:30;sysmon;lights-1-failure;True
0:15:44;sysmon;lights-2-failure;True
0:15:58;sysmon;lights-1-failure;True
0:16:12;sysmon;lights-1-failure;True
0:16:27;sysmon;lights-2-failure;True
0:16:40;sysmon;lights-1-failure;True
0:16:52;sysmon;lights-2-failure;True
0:17:04;sysmon;lights-2-failure;True
0:17:22;sysmon;lights-1-failure;True
0:17:36;sysmon;lights-1-failure;True
0:17:50;sysmon;lights-1-failure;True
0:18:09;sysmon;lights-2-failure;True
0:18:26;sysmon;lights-1-failure;True
0:18:43;sysmon;lights-1-failure;True
0:18:58;sysmon;lights-2-failure;True
0:19:09;sysmon;lights-1-failure;True
0:19:23;sysmon;lights-2-failure;True
0:19:34;sysmon;lights-2-failure;True
0:19:46;sysmon;lights-2-failure;True
0:15:00;sysmon;scales-3-failure;True
0:15:13;sysmon;scales-2-failure;True
0:15:27;sysmon;scales-1-failure;True
0:15:50;sysmon;scales-4-failure;True
0:16:04;sysmon;scales-3-failure;True
0:16:18;sysmon;scales-1-failure;True
0:16:34;sysmon;scales-2-failure;True
0:16:46;sysmon;scales-3-failure;True
0:16:58;sysmon;scales-2-failure;True
0:17:12;sysmon;scales-2-failure;True
0:17:28;sysmon;scales-1-failure;True
0:17:39;sysmon;scales-1-failure;True
0:17:54;sysmon;scales-4-failure;True
0:18:09;sysmon;scales-4-failure;True
0:18:24;sysmon;scales-1-failure;True
0:18:37;sysmon;scales-4-failure;True
0:18:49;sysmon;scales-3-failure;True
0:19:03;sysmon;scales-3-failure;True
0:19:15;sysmon;scales-4-failure;True
0:19:30;sysmon;scales-2-failure;True
0:15:00;resman;tank-a-lossperminute;900
0:15:00;resman;tank-b-lossperminute;900
0:20:00;resman;stop
0:20:00;track;stop
0:20:00;sysmon;stop
