# OpenMATB scenario generator

# Name: train_sysmon
# Date: 23/04/2026 12:15:44


# Block n° 1. Technical load = 80.0 %
0:00:00;sysmon;start
0:00:01;sysmon;lights-2-failure;True
0:00:13;sysmon;lights-2-failure;True
0:00:25;sysmon;lights-1-failure;True
0:00:39;sysmon;lights-1-failure;True
0:00:56;sysmon;lights-2-failure;True
0:01:13;sysmon;lights-2-failure;True
0:01:26;sysmon;lights-2-failure;True
0:01:37;sysmon;lights-1-failure;True
0:01:52;sysmon;lights-1-failure;True
0:02:06;sysmon;lights-1-failure;True
0:02:21;sysmon;lights-2-failure;True
0:02:35;sysmon;lights-1-failure;True
0:02:49;sysmon;lights-1-failure;True
0:00:03;sysmon;scales-1-failure;True
0:00:14;sysmon;scales-1-failure;True
0:00:35;sysmon;scales-1-failure;True
0:00:56;sysmon;scales-3-failure;True
0:01:10;sysmon;scales-4-failure;True
0:01:24;sysmon;scales-4-failure;True
0:01:37;sysmon;scales-4-failure;True
0:01:48;sysmon;scales-4-failure;True
0:01:59;sysmon;scales-3-failure;True
0:02:12;sysmon;scales-2-failure;True
0:02:25;sysmon;scales-3-failure;True
0:02:37;sysmon;scales-2-failure;True
0:02:49;sysmon;scales-2-failure;True
0:03:00;sysmon;stop
